duplicate_group,sha256,instance_count,canonical_export_path_count,duplicate_class,canonical_export_paths,local_uploaded_filenames
SHA-52c6828375d2,52c6828375d2c0bb5ab6e0196815f7dc205d12c6965c2413ff790c5fb61ccc37,2,2,same content referenced by multiple export paths,file_0000000006fc71f6ad2ce578bce09f6b.dat | file_000000000f6471f693ffddad852a27dd.dat,file_0000000006fc71f6ad2ce578bce09f6b.dat | file_000000000f6471f693ffddad852a27dd.dat
SHA-594b1a914ed5,594b1a914ed555c653b79d1c11e530581b406771ac36f53514964356a2c4ff17,2,1,upload repetition,file-8uDTuTjAQdPGMQSsYUUvuE1m.dat,file-8uDTuTjAQdPGMQSsYUUvuE1m(1).dat | file-8uDTuTjAQdPGMQSsYUUvuE1m.dat
SHA-5e31803ec762,5e31803ec762fcad0912ecb1539e4805e58871498b4c21fe0a9303234b5ad126,2,1,upload repetition,file_0000000004e0720cb006be159c090099.dat,file_0000000004e0720cb006be159c090099(1).dat | file_0000000004e0720cb006be159c090099.dat
SHA-623157aeff5c,623157aeff5c5003d457e5b9537b59a4a7fa3412f39956fa8cf5219e78cd40db,2,1,upload repetition,file_000000004cb871f59dfa9765e1e3533b.dat,file_000000004cb871f59dfa9765e1e3533b(1).dat | file_000000004cb871f59dfa9765e1e3533b.dat
SHA-67ad08419e45,67ad08419e454b6f15cce184486ce913c3002744148887639f3353bac9453dfb,2,2,same content referenced by multiple export paths,file-EkMxWEKe9DLubA84jYZL8h.dat | file-Mp9od9bAvq4Z9ZYCd9uQ2B.dat,file-EkMxWEKe9DLubA84jYZL8h.dat | file-Mp9od9bAvq4Z9ZYCd9uQ2B.dat
SHA-6fe94dd7f2a8,6fe94dd7f2a82d26a565fcbd007bf70308356fabf56f721c335224d0e64c2d76,2,1,upload repetition,file_000000004b70722fb130c426040915d3.dat,file_000000004b70722fb130c426040915d3(1).dat | file_000000004b70722fb130c426040915d3.dat
SHA-749c4b0b9d5b,749c4b0b9d5bfcd8721a373c8146babac76f7db0f1a1eee98cc648749681ec5e,2,2,same content referenced by multiple export paths,file_00000000321871f5900459a6fca9b6fd.dat | file_00000000af28722f924823600bff3b41.dat,file_00000000321871f5900459a6fca9b6fd.dat | file_00000000af28722f924823600bff3b41.dat
SHA-7b71dd94ba0d,7b71dd94ba0d4f7c40e0afcc404c80c22a126fa6c31a5f909cffb90dc7a22ea2,2,1,upload repetition,file_000000004ed071fdbc67c7d80f50b3ac.dat,file_000000004ed071fdbc67c7d80f50b3ac(1).dat | file_000000004ed071fdbc67c7d80f50b3ac.dat
SHA-7cf3aa03a0c3,7cf3aa03a0c31642c936e56e89b0343c8e70c3a44e488593d516108d7b34987e,2,1,upload repetition,file-6zmSwwQ1Ns25123m6CWrxb.dat,file-6zmSwwQ1Ns25123m6CWrxb(1).dat | file-6zmSwwQ1Ns25123m6CWrxb.dat
SHA-7d79041874d6,7d79041874d6e003918712d3f03f94dc8c8a2f88ea2ca34d2ad87219fb0da3c9,2,2,same content referenced by multiple export paths,file_000000000ae4722f8cad7971b3a7dc30.dat | file_0000000051cc722fa692661368e18a4b.dat,file_000000000ae4722f8cad7971b3a7dc30.dat | file_0000000051cc722fa692661368e18a4b.dat
SHA-87d8ebfdb3a2,87d8ebfdb3a271a5e6b569f1bd3c491a1b11ab30c457f01aabad8654cae811a0,2,1,upload repetition,file-7pztPzZTMJ1KSTaHdpDaTg.dat,file-7pztPzZTMJ1KSTaHdpDaTg(1).dat | file-7pztPzZTMJ1KSTaHdpDaTg.dat
SHA-88702fc42226,88702fc4222643def14354e2ed78eb021101ade0f1b2b2ed9d15d66dc2d4d636,2,1,upload repetition,file_000000005ad871f5b2ddf3deb9c39c56.dat,file_000000005ad871f5b2ddf3deb9c39c56(1).dat | file_000000005ad871f5b2ddf3deb9c39c56.dat
SHA-8ad99e10bcc3,8ad99e10bcc32a7b81ae6c3898303837b42b3b15a9da0b348458ef4c8bde8847,2,2,same content referenced by multiple export paths,file_00000000589071f58badd19ac19b972a.dat | file_00000000fc68722f94e584f244a0a0a5.dat,file_00000000589071f58badd19ac19b972a.dat | file_00000000fc68722f94e584f244a0a0a5.dat
SHA-98fa7cbb886e,98fa7cbb886e8b233967727e3cd86b9866ea5f4040a1268bbd30337c0b21ebf6,2,1,upload repetition,file-33ZpBk76dxvZxreHCGNGJR.dat,file-33ZpBk76dxvZxreHCGNGJR(1).dat | file-33ZpBk76dxvZxreHCGNGJR.dat
SHA-9f3e053c73b8,9f3e053c73b85d487e6a0846577e2726f6a47660cd14617cca7534839e99b49e,2,2,same content referenced by multiple export paths,file-PCYsqcYEbei1eTCgDWX4dS.dat | file-TKDW9wEENzCnz2tdwttcQQ.dat,file-PCYsqcYEbei1eTCgDWX4dS.dat | file-TKDW9wEENzCnz2tdwttcQQ.dat
SHA-9fafd643be3e,9fafd643be3eacbb837c8ef3f6a047c033f11a2e448fb902e8380ee78d1972e6,2,2,same content referenced by multiple export paths,file-89aDLYrFe7u9UkZLP5Cd9V.dat | file-C72EvNXtFwYAVuX1T6kbcL.dat,file-89aDLYrFe7u9UkZLP5Cd9V.dat | file-C72EvNXtFwYAVuX1T6kbcL.dat
SHA-a43081b3b408,a43081b3b408607e1894cb7e5d1d1afc4d1605e116611e23d7264e3d4d6a6afb,2,1,upload repetition,file_0000000005d071fdba42f91f1d896a66.dat,file_0000000005d071fdba42f91f1d896a66(1).dat | file_0000000005d071fdba42f91f1d896a66.dat
SHA-a4fe608b69c0,a4fe608b69c01c1caf85c561f88a6f426994915869fbef80deaecfb90888bdac,2,2,same content referenced by multiple export paths,file-PBujDgkM7ERb533oScTHKo.dat | file-VfC9dtNvBTvhz3aWixUZSn.dat,file-PBujDgkM7ERb533oScTHKo.dat | file-VfC9dtNvBTvhz3aWixUZSn.dat
SHA-ac621f0b2b9e,ac621f0b2b9e9d530a8d567b87f9168efd9df2bcb1e7688cc225554fed9e87b2,2,1,upload repetition,file_000000004d8471fd85cd303022e805ed.dat,file_000000004d8471fd85cd303022e805ed(1).dat | file_000000004d8471fd85cd303022e805ed.dat
SHA-b5d04133d585,b5d04133d585a565cfba03d02c226f6523a6aceadc4c097b0979e02c718974b1,2,2,same content referenced by multiple export paths,file_000000009598622fa01601fda4bef924.dat | file_00000000b2cc61f7bbb3dd67ed9537d1.dat,file_000000009598622fa01601fda4bef924.dat | file_00000000b2cc61f7bbb3dd67ed9537d1.dat
SHA-bb27a7d97e71,bb27a7d97e71748166861cbcdb1a3f9dec21fdd142737edb6978abc88122b38d,2,2,same content referenced by multiple export paths,file-CARcKzJVTsDYWpi2SCSLjc.dat | file-Ftt7gejsFikJhee7MrjKhF.dat,file-CARcKzJVTsDYWpi2SCSLjc.dat | file-Ftt7gejsFikJhee7MrjKhF.dat
SHA-bb93aa22963b,bb93aa22963be4eba06fdad342110ed04605f1f44e39c0d08c09a80154d4375a,2,1,upload repetition,file-8DkGFqZ5BejtVTQb2HE8Dq.dat,file-8DkGFqZ5BejtVTQb2HE8Dq(1).dat | file-8DkGFqZ5BejtVTQb2HE8Dq.dat
SHA-bbcc436ca838,bbcc436ca8381174ef7fad25fbb7c5a05f2d65fa9ab69650716b4917badc0830,2,1,upload repetition,file_0000000005f47230b700d54bb44407eb.dat,file_0000000005f47230b700d54bb44407eb(1).dat | file_0000000005f47230b700d54bb44407eb.dat
SHA-bc426399ae39,bc426399ae39da2b095915e86968e47f0e2dc03f47e05d85ffd7b2a978d4dff5,2,1,upload repetition,file_000000005b2871fd98af3bf74f56bfa4.dat,file_000000005b2871fd98af3bf74f56bfa4(1).dat | file_000000005b2871fd98af3bf74f56bfa4.dat
SHA-bef065f95efc,bef065f95efc396576030aaec654f9ece9da7081f673f0f09ad1ef330379bb5a,2,1,upload repetition,file_000000003ff462309091c1befcf12416.dat,file_000000003ff462309091c1befcf12416(1).dat | file_000000003ff462309091c1befcf12416(2).dat
SHA-c5fddaef562c,c5fddaef562cb81dd518111439e0df40ed27d1570db6fea5b207880b3f3a67ca,2,1,upload repetition,file-10iXw18mziHOVlBPbx0raMsf.dat,file-10iXw18mziHOVlBPbx0raMsf(1).dat | file-10iXw18mziHOVlBPbx0raMsf(2).dat
SHA-ca18939215c5,ca18939215c516bf9822057a4665e06bc670cdd64c7d2589f2238207e45448f5,2,2,same content referenced by multiple export paths,file-vNWaZLiSgpd2gLMDH7Si8GKw.dat | file-yxCDv1Bb3X7gtfwgeKjvZBNK.dat,file-vNWaZLiSgpd2gLMDH7Si8GKw.dat | file-yxCDv1Bb3X7gtfwgeKjvZBNK.dat
SHA-ca22f76c8d58,ca22f76c8d5865714e378d6e0fc5c696d1ca2b6349e17f1ca35f805f840a6970,2,1,upload repetition,file-8orsrurhB9ChhXW43eSPyo.dat,file-8orsrurhB9ChhXW43eSPyo(1).dat | file-8orsrurhB9ChhXW43eSPyo.dat
SHA-cd482787b268,cd482787b2681530fe9204a1ff1ef9383767ab541a5bf19e4f54ec31b2dcba1c,2,2,same content referenced by multiple export paths,file_00000000381c71f784e94bc248e393f2.dat | file_00000000597471f7beb3a21756dafe97.dat,file_00000000381c71f784e94bc248e393f2.dat | file_00000000597471f7beb3a21756dafe97.dat
SHA-ce28d06a06db,ce28d06a06dbb2f2f938084a231c5e35b51d35f64282abb3655790957e52355a,2,1,upload repetition,file-7cqobrtrvehLw6AVDTwZwu.dat,file-7cqobrtrvehLw6AVDTwZwu(1).dat | file-7cqobrtrvehLw6AVDTwZwu.dat
SHA-de7760835216,de776083521670eb053f384daec1f7902ba9a8cc0f3cad0a8adee3071e02d252,2,1,upload repetition,file-6GQUXeFXxSHYoPECPb4pYn.dat,file-6GQUXeFXxSHYoPECPb4pYn(1).dat | file-6GQUXeFXxSHYoPECPb4pYn.dat
SHA-e2c45295e833,e2c45295e833ff0fb0ea7faa127986a4fbbb8588b372bdd9f18efe5464d34656,2,2,same content referenced by multiple export paths,file-5KVPxYp9999gyTWzDwJ2oX33.dat | file-IVXRArtimbHR83sDnqdQiqe0.dat,file-5KVPxYp9999gyTWzDwJ2oX33.dat | file-IVXRArtimbHR83sDnqdQiqe0.dat
SHA-f02b19f8479b,f02b19f8479b60687ac8ef15c009102334d066e58f3032c196b55c15ff2f1310,2,2,same content referenced by multiple export paths,file-0TqL1xx7D3iFN3jo3bKR5E9b.dat | file-J8VuM3CJIjED5CXoysz0NVrA.dat,file-0TqL1xx7D3iFN3jo3bKR5E9b(1).dat | file-J8VuM3CJIjED5CXoysz0NVrA.dat
SHA-f4c453ee18b7,f4c453ee18b7074529504de790dd30fc488a28f7b55eae020ea08c1a4cdf8f36,2,1,upload repetition,file_000000004ba471f7b2e28cda89ec8dd3.dat,file_000000004ba471f7b2e28cda89ec8dd3(1).dat | file_000000004ba471f7b2e28cda89ec8dd3.dat
SHA-f51d68791cae,f51d68791cae0d9130841e8cc7211c157b65accb01b63e11acfc0342a13f3124,2,2,same content referenced by multiple export paths,file_00000000b39471f686dc4ce3a8608173.dat | file_00000000ec5871f693eab45ac42fee5e.dat,file_00000000b39471f686dc4ce3a8608173.dat | file_00000000ec5871f693eab45ac42fee5e(1).dat
SHA-f727bd81e42f,f727bd81e42fb6fad1fbf46dc587df1b668e6a5bd871dfbea779ceee91c6189e,2,1,upload repetition,file_00000000c04c71f5b33cf2c4083db632.dat,file_00000000c04c71f5b33cf2c4083db632(1).dat | file_00000000c04c71f5b33cf2c4083db632.dat
SHA-f9f317aa9983,f9f317aa9983778d5a3188d753424185acce42ebfac9aace8b9c838f55706577,2,1,upload repetition,file_000000004c4c71fdb8836d3eb49ff833.dat,file_000000004c4c71fdb8836d3eb49ff833(1).dat | file_000000004c4c71fdb8836d3eb49ff833.dat
SHA-faf1ff061836,faf1ff06183612cf6f1dd7ea4de64208a47ced7b7e957f59ee57dddd27bcba6d,2,1,upload repetition,file_000000005a78722fb1a8068768af3961.dat,file_000000005a78722fb1a8068768af3961(1).dat | file_000000005a78722fb1a8068768af3961.dat
SHA-fb4ed7f85fb8,fb4ed7f85fb857df1440f13fe365b5afdff06a639317387f34f900812ea97914,2,2,same content referenced by multiple export paths,file_00000000143c722f82c905ee8f6a4cdf.dat | file_00000000fd3871f58f457270a053d654.dat,file_00000000143c722f82c905ee8f6a4cdf.dat | file_00000000fd3871f58f457270a053d654.dat
