export_path,category,expected_size_bytes,status,local_instance_count,local_filenames,all_sizes_match_manifest,restricted
file-EYWqKgrtLGMqM91rKrt5QF.dat,asset,536262,present,1,file-EYWqKgrtLGMqM91rKrt5QF.dat,yes,no
file-EbYwm5KZyFwPPMkkcQjGUK.dat,asset,354721,present,1,file-EbYwm5KZyFwPPMkkcQjGUK.dat,yes,no
file-EkMxWEKe9DLubA84jYZL8h.dat,asset,283064,present,1,file-EkMxWEKe9DLubA84jYZL8h.dat,yes,no
file-EyA2NFS7xvc75bVyRpyYvt.dat,asset,65956,present,1,file-EyA2NFS7xvc75bVyRpyYvt.dat,yes,no
file-F8c4QFEJta7st3qaeJ3qC5.dat,asset,286382,present,1,file-F8c4QFEJta7st3qaeJ3qC5.dat,yes,no
file-FaAShu3FKlhf1iisn6qHg0UA.dat,asset,411516,present,1,file-FaAShu3FKlhf1iisn6qHg0UA.dat,yes,no
file-Fp2zquzMFPvh2HWnrb2TwT.dat,asset,228811,present,1,file-Fp2zquzMFPvh2HWnrb2TwT.dat,yes,no
file-Ftt7gejsFikJhee7MrjKhF.dat,asset,284402,present,1,file-Ftt7gejsFikJhee7MrjKhF.dat,yes,no
file-G4VDglT0KSlfyb5aSyADChQK.dat,asset,195458,present,1,file-G4VDglT0KSlfyb5aSyADChQK.dat,yes,no
file-G75aB86nY4Rszs6GY6cEAM.dat,asset,273446,present,1,file-G75aB86nY4Rszs6GY6cEAM.dat,yes,no
